municipality_code,municipality_name,population_2024,facilities,sus_linked_facilities,sus_beds,existing_equipment,facilities_per_10k,sus_beds_per_10k,equipment_per_10k,sus_linked_share,health_spending_per_capita,personnel_spending_share_health_spending,investment_share_health_spending,transfer_share_health_spending,own_revenue_applied_asps_lc141,outpatient_records,outpatient_approved_quantity,outpatient_approved_value_brl,outpatient_quantity_per_1000,outpatient_value_per_capita_brl,primary_care_total_production_2025,primary_care_home_visit_share,primary_care_dental_share,primary_care_procedure_share,primary_care_production_per_1000,cluster,cluster_label,pc1,pc2
500330,Coxim - MS,33390,89,30,75,657,26.654687032045523,22.461814914645103,196.76549865229111,0.33707865168539325,2622.52,39.36,2.47,62.760000000000005,23.110000000000003,117813,808725,5627481.859999999,24220.575022461817,168.53794129979033,444546,0.5582909305223757,0.025401195826753587,0.28227225079069435,13313.746630727763,Cluster 3,Regional hubs and dense network,1.9340008264914723,-0.6508404231952506
500345,Deodápolis - MS,14210,44,21,12,181,30.96410978184377,8.444757213230119,127.37508796622097,0.4772727272727273,1076.16,70.32,2.88,71.36,18.92,2549,79558,201366.75,5598.733286418015,14.170777621393386,358659,0.445977934472577,0.027848178910887502,0.33084907948775855,25239.90147783251,Cluster 3,Regional hubs and dense network,1.5959910592762423,1.1223242250026952
500348,Dois Irmãos do Buriti - MS,11470,20,15,14,69,17.436791630340018,12.205754141238012,60.156931124673065,0.75,2114.57,41.83,1.16,46.95,25.5,27998,219528,261626.57,19139.31996512642,22.809639930252835,168153,0.5403709716746059,0.023145587649343158,0.3030870695140735,14660.244115082825,Cluster 4,Lower-density structure,-0.6886420848556917,0.4636183553663217
500350,Douradina - MS,5749,16,11,0,60,27.83092711775961,0,104.36597669159853,0.6875,2036.36,49.34,0.62,47.71,21.979999999999997,13895,143818,79544.9,25016.1767263872,13.836301965559226,99569,0.38503952033263367,0.023933151884622725,0.35450792917474316,17319.359888676292,Cluster 4,Lower-density structure,-0.2570467167745013,1.0735000225818214
500370,Dourados - MS,260640,994,107,502,6428,38.13689379987723,19.26028238182934,246.62369551872314,0.10764587525150904,953.44,76.42,0.59,112.74,25.04,377840,2272091,34547772.97,8717.353437691836,132.54977351903008,3166452,0.5108073642044787,0.028766897461259478,0.28216186444638985,12148.75690607735,Cluster 3,Regional hubs and dense network,5.483952358095385,-0.2529959363784876
500375,Eldorado - MS,11633,25,12,21,112,21.490587122840196,18.052093183185765,96.27783031032408,0.48,2146.21,48.27,2.16,44.17,22.9,4469,53553,148476.24,4603.541648757844,12.76336628556692,266730,0.5506692160611855,0.021598620327672177,0.26883740111723464,22928.73721310066,Cluster 3,Regional hubs and dense network,0.606416755392781,0.43004917685000765
500380,Fátima do Sul - MS,21388,59,23,54,164,27.58556199738171,25.247802506078173,76.67851131475594,0.3898305084745763,1001.64,51.77,1.7,74.91000000000001,24,35498,210948,1960378.98,9862.913783429962,91.65789134093885,379951,0.5056336211774676,0.02437945945661414,0.30455242912901925,17764.681129605386,Cluster 3,Regional hubs and dense network,2.163624818524047,1.3023810344789546
500390,Figueirão - MS,3709,9,6,9,37,24.265300620113237,24.265300620113237,99.75734699379888,0.6666666666666666,3497.8,54,2.12,20.73,17.39,8980,71824,232729.18000000002,19364.7883526557,62.7471501752494,68761,0.32767120897020113,0.042247785808816045,0.3483079070985006,18538.95928821785,Cluster 1,Small municipalities with high local capacity,-2.627287489378972,-2.760788303095359
500400,Glória de Dourados - MS,10777,47,9,10,55,43.61139463672636,9.279020135473694,51.03461074510532,0.1914893617021277,1557.3,35.220000000000006,3.87,27.07,21.65,2236,45442,101682.23,4216.572329961956,9.435114595898673,246273,0.3995484685694331,0.010029520085433645,0.3458844453106918,22851.72125823513,Cluster 3,Regional hubs and dense network,1.0211933458793572,0.21201113106576192
500410,Guia Lopes da Laguna - MS,10135,16,7,16,66,15.786877158362111,15.786877158362111,65.1208682782437,0.4375,1349.87,49.51,0.8200000000000001,40.03,27.76,7949,48452,224841.96,4780.661075481006,22.184702516033546,156517,0.5179756831526288,0.021243698767546018,0.30276583374329946,15443.216576221015,Cluster 4,Lower-density structure,0.5409493423294838,0.07191636583709349
